year,box office ($b)
1977,0.443497461
1978,0.826413013
1979,1.229428453
1980,1.642400771
1981,0.89868696
1982,3.001761432
1983,2.738195414
1984,3.066288
1985,3.017379323
1986,3.065297715
1987,3.343230996
1988,3.542179944
1989,4.084060815
1990,4.326824577
1991,4.33607353
1992,4.519644026
1993,4.823116106
1994,5.061909583
1995,5.106129264
1996,5.600750973
1997,6.077250085
1998,6.696278852
1999,7.340708198
2000,7.476224972
2001,7.959296828
2002,9.164913438
2003,9.232953228
2004,9.354636012
2005,8.833618311
2006,9.203041941
2007,9.679019852
2008,9.652648585
2009,10.61588628
2010,10.58538816
2011,10.15569536
2012,10.84364137
2013,10.9555248
2014,10.36886185
2015,11.14878075
2016,11.37522546
2017,11.07538752
2018,11.89216001
2019,11.3633648
2020,2.1138468
2021,4.482808453
2022,7.369505492
2023,8.905466209